[89, 101, 358];[4.13, -0.62, 58.43]
[755, 762, 337];[66.39, 74.68, 60.51]
[84, 929, 832];[-8.27, 38.74, 32.65]
[20, 211, 312];[44.23, 85.12, 64.53]
[793, 881, 37];[35.13, 60.41, 69.94]
[279, 158, 786];[79.48, 123.38, 63.11]
[147, 703, 343];[38.72, 79.43, 59.05]
[878, 294, 369];[51.29, 75.28, 47.56]
[418, 437, 776];[64.14, 61.98, 65.06]
[464, 917, 788];[34.78, 9.51, 24.42]
[147, 917, 875];[32.17, 3.29, 33.54]
[313, 958, 577];[57.49, 41.99, 37.96]
[255, 880, 570];[46.9, 20.56, 35.3]
[776, 6, 335];[52.05, 98.53, 60.66]
[567, 279, 946];[72.36, 68.76, 71.12]
[970, 459, 777];[31.99, 44.34, 16.45]
[253, 790, 758];[63.81, 5.56, 42.86]
[165, 860, 754];[58.7, 44.88, 38.72]
[835, 437, 88];[57.82, 52.83, 0.25]
[797, 569, 790];[77.94, 50.04, 4.06]
[471, 73, 949];[14.33, 78.73, 42.84]
[365, 777, 556];[32.5, 15.65, 34.19]
[276, 958, 476];[36.42, 47.6, 61.78]
[435, 9, 279];[33.79, 48.77, 73.73]
[67, 800, 890];[43.72, 48.62, 57.83]
[223, 150, 436];[63.48, 13.57, 69.99]
[279, 942, 880];[63.0, 55.38, 20.3]
[556, 337, 392];[23.44, 61.23, 52.28]
[859, 135, 421];[15.54, 28.26, 18.71]
[727, 106, 577];[99.36, 52.35, 52.51]
[951, 318, 826];[37.47, 62.41, 20.46]
[788, 869, 91];[47.96, 40.09, 76.44]
[335, 160, 931];[62.57, 64.34, 55.15]
[866, 29, 179];[48.54, 27.96, 59.74]
[896, 351, 929];[65.91, 82.72, 30.12]
[426, 207, 805];[31.51, 19.9, 33.47]
[207, 780, 892];[20.6, 73.21, 84.12]
[140, 790, 374];[37.3, -3.02, 98.1]
[178, 35, 442];[79.79, 87.37, 4.35]
[956, 922, 769];[82.2, 93.04, 73.09]
[874, 463, 788];[47.73, 39.58, 48.4]
[11, 73, 950];[97.22, 81.85, 43.84]
[295, 178, 703];[57.46, 56.78, 56.7]
[797, 604, 20];[73.81, 5.34, 65.41]
[84, 757, 788];[20.12, 37.0, 38.51]
[791, 145, 110];[38.85, 46.96, 68.3]
[798, 971, 142];[69.35, 70.06, 25.22]
[732, 890, 320];[51.5, 56.92, 58.15]
[891, 17, 100];[73.31, 59.77, 12.7]
[876, 252, 786];[60.57, 66.79, 47.93]
[459, 342, 29];[45.11, 64.95, 26.46]
[446, 569, 948];[68.21, 45.34, 89.86]
[771, 65, 461];[102.17, 45.18, 70.84]
[831, 403, 249];[68.12, 43.69, 47.58]
[150, 560, 292];[21.63, 32.19, 24.16]
[178, 472, 786];[61.71, 70.41, 52.91]
[211, 727, 38];[63.42, 92.49, 53.57]
[327, 87, 227];[47.33, 24.11, 62.71]
[882, 313, 569];[45.12, 64.8, 53.04]
[949, 38, 459];[18.42, 54.54, 40.47]
[6, 877, 316];[108.17, 41.62, 37.72]
[83, 789, 421];[65.62, 77.59, 15.16]
[836, 876, 104];[61.94, 62.21, 48.37]
[881, 259, 792];[63.96, 49.31, 72.54]
[867, 88, 19];[6.46, 0.81, 73.12]
[172, 795, 276];[56.39, 44.93, 36.01]
[110, 238, 454];[53.29, 12.65, 3.52]
[78, 30, 788];[22.57, 33.06, 19.29]
[362, 343, 471];[39.0, 55.29, 6.41]
[871, 798, 566];[18.92, 72.52, 36.46]
[447, 436, 832];[55.54, 71.73, 38.77]
[318, 138, 970];[56.01, 20.01, 32.0]
[791, 149, 695];[36.4, 109.63, 37.67]
[567, 261, 387];[71.37, 64.0, 34.17]
[100, 446, 116];[12.95, 70.47, 41.96]
[892, 604, 291];[80.59, 5.48, 65.37]
[892, 172, 798];[75.25, 60.89, 62.46]
[875, 835, 113];[38.19, 48.24, 89.32]
[21, 778, 896];[79.26, 25.22, 49.14]
[88, 113, 643];[1.18, 85.88, 36.48]
[89, 892, 88];[16.66, 68.41, 1.36]
[752, 220, 476];[64.28, 37.81, 68.21]
[788, 405, 871];[37.82, 69.35, 15.91]
[799, 140, 860];[64.43, 26.47, 56.93]
[755, 29, 9];[69.64, 25.77, 51.11]
[165, 251, 870];[74.56, 64.58, 82.44]
[781, 728, 774];[45.31, 77.7, 79.02]
[801, 294, 732];[19.52, 82.11, 54.93]
[766, 577, 34];[56.35, 66.9, 72.77]
[728, 880, 413];[80.25, 17.42, 48.12]
[922, 769, 826];[90.97, 78.64, -4.42]
[437, 892, 445];[54.11, 56.45, 63.51]
[727, 412, 244];[103.53, 75.79, 49.47]
